fecha,Unidad,target,NP,anualidad_red,baja_vto,baja_sin_efec,producto,tipo_cliente,baja_excepcional,modalidad,LOPD,impago,nivel_inicio,des_nivel_inicio,nivel_final,des_nivel_final,solicitudes,asegurados
30/11/2020,Contact center,No,No,1,No,No,Resto,Individual,No,Dental,No,No,4,Siebel,6,Cont no útil nivel 1,1,1
30/11/2020,Contact center,No,No,1,No,No,Resto,Individual,No,Dental,No,No,4,Siebel,7,No procede nivel 1,3,5
30/11/2020,Contact center,No,No,1,No,No,Resto,Individual,No,Dental,No,No,4,Siebel,8,Cont útil nivel 1,6,14
30/11/2020,Contact center,No,No,1,No,No,Resto,Individual,No,Dental,No,No,6,Cont no útil nivel 1,16,Baja,1,1
30/11/2020,Contact center,No,No,1,No,No,Resto,Individual,No,Dental,No,No,7,No procede nivel 1,16,Baja,3,5
30/11/2020,Contact center,No,No,1,No,No,Resto,Individual,No,Dental,No,No,8,Cont útil nivel 1,16,Baja,6,14
30/11/2020,Contact center,No,No,1,No,No,Resto,Individual,No,Dental,Sí,No,1,Contact center,4,Siebel,44,78
30/11/2020,Contact center,No,No,1,No,No,Resto,Individual,No,Dental,Sí,No,4,Siebel,6,Cont no útil nivel 1,1,2
30/11/2020,Contact center,No,No,1,No,No,Resto,Individual,No,Dental,Sí,No,4,Siebel,7,No procede nivel 1,19,29
30/11/2020,Contact center,No,No,1,No,No,Resto,Individual,No,Dental,Sí,No,4,Siebel,8,Cont útil nivel 1,24,47
30/11/2020,Contact center,No,No,1,No,No,Resto,Individual,No,Dental,Sí,No,6,Cont no útil nivel 1,16,Baja,1,2
30/11/2020,Contact center,No,No,1,No,No,Resto,Individual,No,Dental,Sí,No,7,No procede nivel 1,16,Baja,19,29
30/11/2020,Contact center,No,No,1,No,No,Resto,Individual,No,Dental,Sí,No,8,Cont útil nivel 1,16,Baja,24,47
30/11/2020,Contact center,No,No,1,No,No,Resto,Individual,Sí,Dental,No,No,1,Contact center,4,Siebel,1,6
30/11/2020,Contact center,No,No,1,No,No,Resto,Individual,Sí,Dental,No,No,4,Siebel,7,No procede nivel 1,1,6
30/11/2020,Contact center,No,No,1,No,No,Resto,Individual,Sí,Dental,No,No,7,No procede nivel 1,16,Baja,1,6
30/11/2020,Contact center,No,No,1,No,No,Resto,Individual,Sí,Dental,Sí,No,1,Contact center,4,Siebel,2,2
30/11/2020,Contact center,No,No,1,No,No,Resto,Individual,Sí,Dental,Sí,No,4,Siebel,8,Cont útil nivel 1,2,2
30/11/2020,Contact center,No,No,1,No,No,Resto,Individual,Sí,Dental,Sí,No,8,Cont útil nivel 1,16,Baja,2,2
30/11/2020,Contact center,No,No,1,No,No,Resto,Pyme,No,Asistencia,No,No,1,Contact center,4,Siebel,1,4
30/11/2020,Contact center,No,No,1,No,No,Resto,Pyme,No,Asistencia,No,No,4,Siebel,7,No procede nivel 1,1,4
30/11/2020,Contact center,No,No,1,No,No,Resto,Pyme,No,Asistencia,No,No,7,No procede nivel 1,16,Baja,1,4
30/11/2020,Contact center,No,No,1,No,No,Resto,Pyme,No,Asistencia,Sí,No,1,Contact center,4,Siebel,3,3
30/11/2020,Contact center,No,No,1,No,No,Resto,Pyme,No,Asistencia,Sí,No,4,Siebel,7,No procede nivel 1,1,1
30/11/2020,Contact center,No,No,1,No,No,Resto,Pyme,No,Asistencia,Sí,No,4,Siebel,8,Cont útil nivel 1,2,2
30/11/2020,Contact center,No,No,1,No,No,Resto,Pyme,No,Asistencia,Sí,No,7,No procede nivel 1,16,Baja,1,1
30/11/2020,Contact center,No,No,1,No,No,Resto,Pyme,No,Asistencia,Sí,No,8,Cont útil nivel 1,16,Baja,2,2
30/11/2020,Contact center,No,No,1,No,No,Resto,Pyme,No,Dental,Sí,No,1,Contact center,4,Siebel,1,1
30/11/2020,Contact center,No,No,1,No,No,Resto,Pyme,No,Dental,Sí,No,4,Siebel,8,Cont útil nivel 1,1,1
30/11/2020,Contact center,No,No,1,No,No,Resto,Pyme,No,Dental,Sí,No,8,Cont útil nivel 1,16,Baja,1,1
30/11/2020,Contact center,No,No,1,No,No,Resto,Pyme,Sí,Asistencia,No,No,1,Contact center,4,Siebel,1,1
30/11/2020,Contact center,No,No,1,No,No,Resto,Pyme,Sí,Asistencia,No,No,4,Siebel,7,No procede nivel 1,1,1
30/11/2020,Contact center,No,No,1,No,No,Resto,Pyme,Sí,Asistencia,No,No,7,No procede nivel 1,16,Baja,1,1
30/11/2020,Contact center,No,No,1,No,Sí,Basico,Individual,No,Asistencia,Sí,No,1,Contact center,4,Siebel,1,2
30/11/2020,Contact center,No,No,1,No,Sí,Basico,Individual,No,Asistencia,Sí,No,4,Siebel,8,Cont útil nivel 1,1,2
30/11/2020,Contact center,No,No,1,No,Sí,Basico,Individual,No,Asistencia,Sí,No,8,Cont útil nivel 1,16,Baja,1,2
30/11/2020,Contact center,No,No,1,No,Sí,Mybox,Individual,No,Asistencia,Sí,No,1,Contact center,4,Siebel,4,4
30/11/2020,Contact center,No,No,1,No,Sí,Mybox,Individual,No,Asistencia,Sí,No,4,Siebel,7,No procede nivel 1,3,3
30/11/2020,Contact center,No,No,1,No,Sí,Mybox,Individual,No,Asistencia,Sí,No,4,Siebel,8,Cont útil nivel 1,1,1
30/11/2020,Contact center,No,No,1,No,Sí,Mybox,Individual,No,Asistencia,Sí,No,7,No procede nivel 1,16,Baja,3,3
30/11/2020,Contact center,No,No,1,No,Sí,Mybox,Individual,No,Asistencia,Sí,No,8,Cont útil nivel 1,16,Baja,1,1
30/11/2020,Contact center,No,No,1,No,Sí,Resto,Individual,Sí,Dental,No,No,1,Contact center,4,Siebel,1,1
30/11/2020,Contact center,No,No,1,No,Sí,Resto,Individual,Sí,Dental,No,No,4,Siebel,8,Cont útil nivel 1,1,1
30/11/2020,Contact center,No,No,1,No,Sí,Resto,Individual,Sí,Dental,No,No,8,Cont útil nivel 1,16,Baja,1,1
30/11/2020,Contact center,No,No,1,No,Sí,Resto,Individual,Sí,Dental,Sí,No,1,Contact center,4,Siebel,1,1
30/11/2020,Contact center,No,No,1,No,Sí,Resto,Individual,Sí,Dental,Sí,No,4,Siebel,8,Cont útil nivel 1,1,1
30/11/2020,Contact center,No,No,1,No,Sí,Resto,Individual,Sí,Dental,Sí,No,8,Cont útil nivel 1,16,Baja,1,1
30/11/2020,Contact center,No,No,1,Sí,No,Mybox,Individual,No,Asistencia,No,No,1,Contact center,4,Siebel,4,6
30/11/2020,Contact center,No,No,1,Sí,No,Mybox,Individual,No,Asistencia,No,No,4,Siebel,6,Cont no útil nivel 1,1,3
30/11/2020,Contact center,No,No,1,Sí,No,Mybox,Individual,No,Asistencia,No,No,4,Siebel,8,Cont útil nivel 1,3,3
30/11/2020,Contact center,No,No,1,Sí,No,Mybox,Individual,No,Asistencia,No,No,6,Cont no útil nivel 1,16,Baja,1,3
30/11/2020,Contact center,No,No,1,Sí,No,Mybox,Individual,No,Asistencia,No,No,8,Cont útil nivel 1,16,Baja,3,3
30/11/2020,Contact center,No,No,1,Sí,No,Mybox,Individual,No,Asistencia,Sí,No,1,Contact center,4,Siebel,9,11
30/11/2020,Contact center,No,No,1,Sí,No,Mybox,Individual,No,Asistencia,Sí,No,4,Siebel,7,No procede nivel 1,4,4
30/11/2020,Contact center,No,No,1,Sí,No,Mybox,Individual,No,Asistencia,Sí,No,4,Siebel,8,Cont útil nivel 1,5,7
30/11/2020,Contact center,No,No,1,Sí,No,Mybox,Individual,No,Asistencia,Sí,No,7,No procede nivel 1,16,Baja,4,4
30/11/2020,Contact center,No,No,1,Sí,No,Mybox,Individual,No,Asistencia,Sí,No,8,Cont útil nivel 1,16,Baja,5,7
30/11/2020,Contact center,No,No,1,Sí,No,Mybox,Individual,Sí,Asistencia,Sí,No,1,Contact center,4,Siebel,2,2
30/11/2020,Contact center,No,No,1,Sí,No,Mybox,Individual,Sí,Asistencia,Sí,No,4,Siebel,7,No procede nivel 1,1,1
30/11/2020,Contact center,No,No,1,Sí,No,Mybox,Individual,Sí,Asistencia,Sí,No,4,Siebel,8,Cont útil nivel 1,1,1
30/11/2020,Contact center,No,No,1,Sí,No,Mybox,Individual,Sí,Asistencia,Sí,No,7,No procede nivel 1,16,Baja,1,1
30/11/2020,Contact center,No,No,1,Sí,No,Mybox,Individual,Sí,Asistencia,Sí,No,8,Cont útil nivel 1,16,Baja,1,1
30/11/2020,Contact center,No,No,2,,No,Basico,Individual,,Asistencia,No,No,1,Contact center,4,Siebel,14,26
30/11/2020,Contact center,No,No,2,,No,Basico,Individual,,Asistencia,No,No,4,Siebel,8,Cont útil nivel 1,14,26
30/11/2020,Contact center,No,No,2,,No,Basico,Individual,,Asistencia,No,No,8,Cont útil nivel 1,14,Retenido,13,22
30/11/2020,Contact center,No,No,2,,No,Basico,Individual,,Asistencia,No,No,8,Cont útil nivel 1,15,Retenido arg,1,4
30/11/2020,Contact center,No,No,2,,No,Basico,Individual,,Asistencia,No,No,14,Retenido,17,Baja final,3,3
30/11/2020,Contact center,No,No,2,,No,Basico,Individual,,Asistencia,No,No,15,Retenido arg,17,Baja final,1,4
30/11/2020,Contact center,No,No,2,,No,Basico,Individual,,Asistencia,Sí,No,1,Contact center,4,Siebel,33,61
30/11/2020,Contact center,No,No,2,,No,Basico,Individual,,Asistencia,Sí,No,4,Siebel,8,Cont útil nivel 1,33,61
30/11/2020,Contact center,No,No,2,,No,Basico,Individual,,Asistencia,Sí,No,8,Cont útil nivel 1,14,Retenido,26,48
30/11/2020,Contact center,No,No,2,,No,Basico,Individual,,Asistencia,Sí,No,8,Cont útil nivel 1,15,Retenido arg,7,13
30/11/2020,Contact center,No,No,2,,No,Basico,Individual,,Asistencia,Sí,No,14,Retenido,17,Baja final,8,13
30/11/2020,Contact center,No,No,2,,No,Basico,Individual,,Asistencia,Sí,No,15,Retenido arg,17,Baja final,3,6
30/11/2020,Contact center,No,No,2,,No,Plena,Individual,,Asistencia,No,No,1,Contact center,4,Siebel,54,76
30/11/2020,Contact center,No,No,2,,No,Plena,Individual,,Asistencia,No,No,4,Siebel,8,Cont útil nivel 1,54,76
30/11/2020,Contact center,No,No,2,,No,Plena,Individual,,Asistencia,No,No,8,Cont útil nivel 1,14,Retenido,50,72
30/11/2020,Contact center,No,No,2,,No,Plena,Individual,,Asistencia,No,No,8,Cont útil nivel 1,15,Retenido arg,4,4
30/11/2020,Contact center,No,No,2,,No,Plena,Individual,,Asistencia,No,No,14,Retenido,17,Baja final,9,13
30/11/2020,Contact center,No,No,2,,No,Plena,Individual,,Asistencia,No,No,15,Retenido arg,17,Baja final,1,1
30/11/2020,Contact center,No,No,2,,No,Plena,Individual,,Asistencia,Sí,No,1,Contact center,4,Siebel,171,211
30/11/2020,Contact center,No,No,2,,No,Plena,Individual,,Asistencia,Sí,No,4,Siebel,8,Cont útil nivel 1,171,211
30/11/2020,Contact center,No,No,2,,No,Plena,Individual,,Asistencia,Sí,No,8,Cont útil nivel 1,14,Retenido,160,198
30/11/2020,Contact center,No,No,2,,No,Plena,Individual,,Asistencia,Sí,No,8,Cont útil nivel 1,15,Retenido arg,11,13
30/11/2020,Contact center,No,No,2,,No,Plena,Individual,,Asistencia,Sí,No,14,Retenido,17,Baja final,26,30
30/11/2020,Contact center,No,No,2,,No,Plena,Individual,,Asistencia,Sí,No,15,Retenido arg,17,Baja final,3,3
30/11/2020,Contact center,No,No,2,,No,Resto,Individual,,Asistencia,No,No,1,Contact center,4,Siebel,4,4
30/11/2020,Contact center,No,No,2,,No,Resto,Individual,,Asistencia,No,No,4,Siebel,8,Cont útil nivel 1,4,4
30/11/2020,Contact center,No,No,2,,No,Resto,Individual,,Asistencia,No,No,8,Cont útil nivel 1,14,Retenido,4,4
30/11/2020,Contact center,No,No,2,,No,Resto,Individual,,Asistencia,No,No,14,Retenido,17,Baja final,1,1
30/11/2020,Contact center,No,No,2,,No,Resto,Individual,,Asistencia,Sí,No,1,Contact center,4,Siebel,5,6
30/11/2020,Contact center,No,No,2,,No,Resto,Individual,,Asistencia,Sí,No,4,Siebel,8,Cont útil nivel 1,5,6
30/11/2020,Contact center,No,No,2,,No,Resto,Individual,,Asistencia,Sí,No,8,Cont útil nivel 1,14,Retenido,3,4
30/11/2020,Contact center,No,No,2,,No,Resto,Individual,,Asistencia,Sí,No,8,Cont útil nivel 1,15,Retenido arg,2,2
30/11/2020,Contact center,No,No,2,,No,Resto,Individual,,Asistencia,Sí,No,14,Retenido,17,Baja final,1,1
30/11/2020,Contact center,No,No,2,,No,Resto,Individual,,Asistencia,Sí,No,15,Retenido arg,17,Baja final,1,1
30/11/2020,Contact center,No,No,2,,No,Resto,Individual,,Dental,No,No,1,Contact center,4,Siebel,50,86
30/11/2020,Contact center,No,No,2,,No,Resto,Individual,,Dental,No,No,4,Siebel,8,Cont útil nivel 1,50,86
30/11/2020,Contact center,No,No,2,,No,Resto,Individual,,Dental,No,No,8,Cont útil nivel 1,14,Retenido,42,66
30/11/2020,Contact center,No,No,2,,No,Resto,Individual,,Dental,No,No,8,Cont útil nivel 1,15,Retenido arg,8,20
30/11/2020,Contact center,No,No,2,,No,Resto,Individual,,Dental,No,No,14,Retenido,17,Baja final,12,18
30/11/2020,Contact center,No,No,2,,No,Resto,Individual,,Dental,No,No,15,Retenido arg,17,Baja final,3,8
30/11/2020,Contact center,No,No,2,,No,Resto,Individual,,Dental,Sí,No,1,Contact center,4,Siebel,129,233
30/11/2020,Contact center,No,No,2,,No,Resto,Individual,,Dental,Sí,No,4,Siebel,8,Cont útil nivel 1,129,233
30/11/2020,Contact center,No,No,2,,No,Resto,Individual,,Dental,Sí,No,8,Cont útil nivel 1,14,Retenido,96,178
30/11/2020,Contact center,No,No,2,,No,Resto,Individual,,Dental,Sí,No,8,Cont útil nivel 1,15,Retenido arg,33,55
30/11/2020,Contact center,No,No,2,,No,Resto,Individual,,Dental,Sí,No,14,Retenido,17,Baja final,25,44
30/11/2020,Contact center,No,No,2,,No,Resto,Individual,,Dental,Sí,No,15,Retenido arg,17,Baja final,10,13
30/11/2020,Contact center,No,No,2,,No,Resto,Pyme,,Asistencia,No,No,1,Contact center,4,Siebel,79,221
30/11/2020,Contact center,No,No,2,,No,Resto,Pyme,,Asistencia,No,No,4,Siebel,8,Cont útil nivel 1,79,221
30/11/2020,Contact center,No,No,2,,No,Resto,Pyme,,Asistencia,No,No,8,Cont útil nivel 1,14,Retenido,78,220
30/11/2020,Contact center,No,No,2,,No,Resto,Pyme,,Asistencia,No,No,8,Cont útil nivel 1,15,Retenido arg,1,1
30/11/2020,Contact center,No,No,2,,No,Resto,Pyme,,Asistencia,No,No,14,Retenido,17,Baja final,1,11
30/11/2020,Contact center,No,No,2,,No,Resto,Pyme,,Asistencia,Sí,No,1,Contact center,4,Siebel,206,590
30/11/2020,Contact center,No,No,2,,No,Resto,Pyme,,Asistencia,Sí,No,4,Siebel,8,Cont útil nivel 1,206,590
30/11/2020,Contact center,No,No,2,,No,Resto,Pyme,,Asistencia,Sí,No,8,Cont útil nivel 1,14,Retenido,206,590
30/11/2020,Contact center,No,No,2,,No,Resto,Pyme,,Asistencia,Sí,No,14,Retenido,17,Baja final,9,31
30/11/2020,Contact center,No,No,2,,No,Resto,Pyme,,Dental,No,No,1,Contact center,4,Siebel,3,7
30/11/2020,Contact center,No,No,2,,No,Resto,Pyme,,Dental,No,No,4,Siebel,8,Cont útil nivel 1,3,7
30/11/2020,Contact center,No,No,2,,No,Resto,Pyme,,Dental,No,No,8,Cont útil nivel 1,14,Retenido,3,7
30/11/2020,Contact center,No,No,2,,No,Resto,Pyme,,Dental,Sí,No,1,Contact center,4,Siebel,5,13
30/11/2020,Contact center,No,No,2,,No,Resto,Pyme,,Dental,Sí,No,4,Siebel,8,Cont útil nivel 1,5,13
30/11/2020,Contact center,No,No,2,,No,Resto,Pyme,,Dental,Sí,No,8,Cont útil nivel 1,14,Retenido,4,11
30/11/2020,Contact center,No,No,2,,No,Resto,Pyme,,Dental,Sí,No,8,Cont útil nivel 1,15,Retenido arg,1,2
30/11/2020,Contact center,No,No,2,No,No,Basico,Individual,No,Asistencia,No,No,1,Contact center,4,Siebel,6,10
30/11/2020,Contact center,No,No,2,No,No,Basico,Individual,No,Asistencia,No,No,4,Siebel,7,No procede nivel 1,3,3
30/11/2020,Contact center,No,No,2,No,No,Basico,Individual,No,Asistencia,No,No,4,Siebel,8,Cont útil nivel 1,3,7
30/11/2020,Contact center,No,No,2,No,No,Basico,Individual,No,Asistencia,No,No,7,No procede nivel 1,16,Baja,3,3
30/11/2020,Contact center,No,No,2,No,No,Basico,Individual,No,Asistencia,No,No,8,Cont útil nivel 1,16,Baja,3,7
30/11/2020,Contact center,No,No,2,No,No,Basico,Individual,No,Asistencia,Sí,No,1,Contact center,4,Siebel,11,19
30/11/2020,Contact center,No,No,2,No,No,Basico,Individual,No,Asistencia,Sí,No,4,Siebel,6,Cont no útil nivel 1,2,4
30/11/2020,Contact center,No,No,2,No,No,Basico,Individual,No,Asistencia,Sí,No,4,Siebel,7,No procede nivel 1,1,1
30/11/2020,Contact center,No,No,2,No,No,Basico,Individual,No,Asistencia,Sí,No,4,Siebel,8,Cont útil nivel 1,8,14
30/11/2020,Contact center,No,No,2,No,No,Basico,Individual,No,Asistencia,Sí,No,6,Cont no útil nivel 1,16,Baja,2,4
30/11/2020,Contact center,No,No,2,No,No,Basico,Individual,No,Asistencia,Sí,No,7,No procede nivel 1,16,Baja,1,1
30/11/2020,Contact center,No,No,2,No,No,Basico,Individual,No,Asistencia,Sí,No,8,Cont útil nivel 1,16,Baja,7,13
30/11/2020,Contact center,No,No,2,No,No,Basico,Individual,No,Asistencia,Sí,No,8,Cont útil nivel 1,18,Traspaso,1,1
30/11/2020,Contact center,No,No,2,No,No,Basico,Individual,Sí,Asistencia,No,No,1,Contact center,4,Siebel,1,3
30/11/2020,Contact center,No,No,2,No,No,Basico,Individual,Sí,Asistencia,No,No,4,Siebel,6,Cont no útil nivel 1,1,3
30/11/2020,Contact center,No,No,2,No,No,Basico,Individual,Sí,Asistencia,No,No,6,Cont no útil nivel 1,16,Baja,1,3
30/11/2020,Contact center,No,No,2,No,No,Basico,Individual,Sí,Asistencia,Sí,No,1,Contact center,4,Siebel,4,10
30/11/2020,Contact center,No,No,2,No,No,Basico,Individual,Sí,Asistencia,Sí,No,4,Siebel,7,No procede nivel 1,2,6
30/11/2020,Contact center,No,No,2,No,No,Basico,Individual,Sí,Asistencia,Sí,No,4,Siebel,8,Cont útil nivel 1,2,4
30/11/2020,Contact center,No,No,2,No,No,Basico,Individual,Sí,Asistencia,Sí,No,7,No procede nivel 1,16,Baja,2,6
30/11/2020,Contact center,No,No,2,No,No,Basico,Individual,Sí,Asistencia,Sí,No,8,Cont útil nivel 1,16,Baja,2,4
30/11/2020,Contact center,No,No,2,No,No,Plena,Individual,No,Asistencia,No,No,1,Contact center,4,Siebel,16,18
30/11/2020,Contact center,No,No,2,No,No,Plena,Individual,No,Asistencia,No,No,4,Siebel,6,Cont no útil nivel 1,2,3
30/11/2020,Contact center,No,No,2,No,No,Plena,Individual,No,Asistencia,No,No,4,Siebel,7,No procede nivel 1,4,4
