fecha,Unidad_final,target,NP,anualidad_red,baja_vto,baja_sin_efec,producto,tipo_cliente,baja_excepcional,modalidad,permiso_ECO,LOPD,impago,nivel_inicio,des_nivel_inicio,nivel_final,des_nivel_final,solicitudes,asegurados
30/11/2020,Agentes Red,No,No,1,No,No,Plena,Individual,Sí,Asistencia,No,Sí,Sí,4,Agentes Red,8,EGAS,2,2
30/11/2020,Agentes Red,No,No,1,No,No,Plena,Individual,Sí,Asistencia,No,Sí,Sí,8,EGAS,21,Baja,2,2
30/11/2020,Agentes Red,No,No,1,No,No,Resto,Individual,Sí,Asistencia,No,Sí,No,4,Agentes Red,8,EGAS,2,2
30/11/2020,Agentes Red,No,No,1,No,No,Resto,Individual,Sí,Asistencia,No,Sí,No,8,EGAS,21,Baja,2,2
30/11/2020,Agentes Red,No,No,1,No,No,Resto,Individual,Sí,Asistencia,No,Sí,Sí,4,Agentes Red,8,EGAS,1,1
30/11/2020,Agentes Red,No,No,1,No,No,Resto,Individual,Sí,Asistencia,No,Sí,Sí,8,EGAS,21,Baja,1,1
30/11/2020,Agentes Red,No,No,1,No,No,Resto,Individual,Sí,Dental,No,No,No,4,Agentes Red,8,EGAS,2,2
30/11/2020,Agentes Red,No,No,1,No,No,Resto,Individual,Sí,Dental,No,No,No,8,EGAS,21,Baja,2,2
30/11/2020,Agentes Red,No,No,1,No,No,Resto,Individual,Sí,Dental,No,No,Sí,4,Agentes Red,8,EGAS,1,2
30/11/2020,Agentes Red,No,No,1,No,No,Resto,Individual,Sí,Dental,No,No,Sí,8,EGAS,23,Traspaso,1,2
30/11/2020,Agentes Red,No,No,1,No,No,Resto,Individual,Sí,Dental,No,Sí,No,1,Contact center,7,Siebel,1,1
30/11/2020,Agentes Red,No,No,1,No,No,Resto,Individual,Sí,Dental,No,Sí,No,4,Agentes Red,1,Contact center,1,1
30/11/2020,Agentes Red,No,No,1,No,No,Resto,Individual,Sí,Dental,No,Sí,No,4,Agentes Red,8,EGAS,3,4
30/11/2020,Agentes Red,No,No,1,No,No,Resto,Individual,Sí,Dental,No,Sí,No,7,Siebel,13,Cont útil nivel 1,1,1
30/11/2020,Agentes Red,No,No,1,No,No,Resto,Individual,Sí,Dental,No,Sí,No,8,EGAS,21,Baja,2,3
30/11/2020,Agentes Red,No,No,1,No,No,Resto,Individual,Sí,Dental,No,Sí,No,8,EGAS,23,Traspaso,1,1
30/11/2020,Agentes Red,No,No,1,No,No,Resto,Individual,Sí,Dental,No,Sí,No,13,Cont útil nivel 1,21,Baja,1,1
30/11/2020,Agentes Red,No,No,1,No,No,Resto,Individual,Sí,Dental,No,Sí,Sí,4,Agentes Red,8,EGAS,1,2
30/11/2020,Agentes Red,No,No,1,No,No,Resto,Individual,Sí,Dental,No,Sí,Sí,8,EGAS,21,Baja,1,2
30/11/2020,Agentes Red,No,No,1,No,No,Resto,Pyme,No,Dental,No,No,No,4,Agentes Red,8,EGAS,1,1
30/11/2020,Agentes Red,No,No,1,No,No,Resto,Pyme,No,Dental,No,No,No,8,EGAS,21,Baja,1,1
30/11/2020,Agentes Red,No,No,1,No,No,Resto,Pyme,No,Dental,No,No,Sí,4,Agentes Red,8,EGAS,1,1
30/11/2020,Agentes Red,No,No,1,No,No,Resto,Pyme,No,Dental,No,No,Sí,8,EGAS,21,Baja,1,1
30/11/2020,Agentes Red,No,No,1,No,No,Resto,Pyme,Sí,Asistencia,No,No,Sí,4,Agentes Red,8,EGAS,1,2
30/11/2020,Agentes Red,No,No,1,No,No,Resto,Pyme,Sí,Asistencia,No,No,Sí,8,EGAS,21,Baja,1,2
30/11/2020,Agentes Red,No,No,1,No,No,Resto,Pyme,Sí,Asistencia,No,Sí,No,4,Agentes Red,8,EGAS,3,3
30/11/2020,Agentes Red,No,No,1,No,No,Resto,Pyme,Sí,Asistencia,No,Sí,No,8,EGAS,21,Baja,2,2
30/11/2020,Agentes Red,No,No,1,No,No,Resto,Pyme,Sí,Asistencia,No,Sí,No,8,EGAS,23,Traspaso,1,1
30/11/2020,Agentes Red,No,No,1,No,No,Resto,Pyme,Sí,Dental,No,No,No,4,Agentes Red,8,EGAS,1,4
30/11/2020,Agentes Red,No,No,1,No,No,Resto,Pyme,Sí,Dental,No,No,No,8,EGAS,23,Traspaso,1,4
30/11/2020,Agentes Red,No,No,1,No,No,Resto,Pyme,Sí,Dental,No,Sí,Sí,4,Agentes Red,8,EGAS,1,1
30/11/2020,Agentes Red,No,No,1,No,No,Resto,Pyme,Sí,Dental,No,Sí,Sí,8,EGAS,21,Baja,1,1
30/11/2020,Agentes Red,No,No,1,No,Sí,Basico,Individual,Sí,Asistencia,No,Sí,No,4,Agentes Red,8,EGAS,2,3
30/11/2020,Agentes Red,No,No,1,No,Sí,Basico,Individual,Sí,Asistencia,No,Sí,No,8,EGAS,21,Baja,2,3
30/11/2020,Agentes Red,No,No,1,No,Sí,Plena,Individual,Sí,Asistencia,No,Sí,No,4,Agentes Red,8,EGAS,3,4
30/11/2020,Agentes Red,No,No,1,No,Sí,Plena,Individual,Sí,Asistencia,No,Sí,No,8,EGAS,21,Baja,3,4
30/11/2020,Agentes Red,No,No,1,No,Sí,Resto,Individual,Sí,Dental,No,No,No,4,Agentes Red,8,EGAS,2,10
30/11/2020,Agentes Red,No,No,1,No,Sí,Resto,Individual,Sí,Dental,No,No,No,8,EGAS,21,Baja,2,10
30/11/2020,Agentes Red,No,No,1,No,Sí,Resto,Individual,Sí,Dental,No,Sí,No,4,Agentes Red,8,EGAS,1,1
30/11/2020,Agentes Red,No,No,1,No,Sí,Resto,Individual,Sí,Dental,No,Sí,No,8,EGAS,21,Baja,1,1
30/11/2020,Agentes Red,No,No,1,No,Sí,Resto,Pyme,Sí,Asistencia,No,Sí,No,4,Agentes Red,8,EGAS,1,1
30/11/2020,Agentes Red,No,No,1,No,Sí,Resto,Pyme,Sí,Asistencia,No,Sí,No,8,EGAS,21,Baja,1,1
30/11/2020,Agentes Red,No,No,1,No,Sí,Resto,Pyme,Sí,Dental,No,Sí,No,4,Agentes Red,8,EGAS,1,1
30/11/2020,Agentes Red,No,No,1,No,Sí,Resto,Pyme,Sí,Dental,No,Sí,No,8,EGAS,21,Baja,1,1
30/11/2020,Agentes Red,No,No,2,,No,Basico,Individual,,Asistencia,,No,No,4,Agentes Red,8,EGAS,1,1
30/11/2020,Agentes Red,No,No,2,,No,Basico,Individual,,Asistencia,,No,No,8,EGAS,19,Retenido,1,1
30/11/2020,Agentes Red,No,No,2,,No,Basico,Individual,,Asistencia,,Sí,No,4,Agentes Red,8,EGAS,2,6
30/11/2020,Agentes Red,No,No,2,,No,Basico,Individual,,Asistencia,,Sí,No,8,EGAS,19,Retenido,2,6
30/11/2020,Agentes Red,No,No,2,,No,Basico,Individual,,Asistencia,,Sí,No,19,Retenido,22,Baja final,1,2
30/11/2020,Agentes Red,No,No,2,,No,Plena,Individual,,Asistencia,,No,No,4,Agentes Red,8,EGAS,4,6
30/11/2020,Agentes Red,No,No,2,,No,Plena,Individual,,Asistencia,,No,No,8,EGAS,19,Retenido,4,6
30/11/2020,Agentes Red,No,No,2,,No,Plena,Individual,,Asistencia,,Sí,No,1,Contact center,7,Siebel,2,2
30/11/2020,Agentes Red,No,No,2,,No,Plena,Individual,,Asistencia,,Sí,No,4,Agentes Red,1,Contact center,2,2
30/11/2020,Agentes Red,No,No,2,,No,Plena,Individual,,Asistencia,,Sí,No,4,Agentes Red,8,EGAS,28,42
30/11/2020,Agentes Red,No,No,2,,No,Plena,Individual,,Asistencia,,Sí,No,7,Siebel,13,Cont útil nivel 1,2,2
30/11/2020,Agentes Red,No,No,2,,No,Plena,Individual,,Asistencia,,Sí,No,8,EGAS,19,Retenido,28,42
30/11/2020,Agentes Red,No,No,2,,No,Plena,Individual,,Asistencia,,Sí,No,13,Cont útil nivel 1,19,Retenido,2,2
30/11/2020,Agentes Red,No,No,2,,No,Plena,Individual,,Asistencia,,Sí,No,19,Retenido,22,Baja final,5,8
30/11/2020,Agentes Red,No,No,2,,No,Resto,Individual,,Dental,,No,No,4,Agentes Red,8,EGAS,8,16
30/11/2020,Agentes Red,No,No,2,,No,Resto,Individual,,Dental,,No,No,8,EGAS,19,Retenido,8,16
30/11/2020,Agentes Red,No,No,2,,No,Resto,Individual,,Dental,,No,No,19,Retenido,22,Baja final,3,8
30/11/2020,Agentes Red,No,No,2,,No,Resto,Individual,,Dental,,Sí,No,1,Contact center,7,Siebel,1,5
30/11/2020,Agentes Red,No,No,2,,No,Resto,Individual,,Dental,,Sí,No,4,Agentes Red,1,Contact center,1,5
30/11/2020,Agentes Red,No,No,2,,No,Resto,Individual,,Dental,,Sí,No,4,Agentes Red,8,EGAS,15,40
30/11/2020,Agentes Red,No,No,2,,No,Resto,Individual,,Dental,,Sí,No,7,Siebel,13,Cont útil nivel 1,1,5
30/11/2020,Agentes Red,No,No,2,,No,Resto,Individual,,Dental,,Sí,No,8,EGAS,19,Retenido,15,40
30/11/2020,Agentes Red,No,No,2,,No,Resto,Individual,,Dental,,Sí,No,13,Cont útil nivel 1,19,Retenido,1,5
30/11/2020,Agentes Red,No,No,2,,No,Resto,Individual,,Dental,,Sí,No,19,Retenido,22,Baja final,3,10
30/11/2020,Agentes Red,No,No,2,,No,Resto,Pyme,,Asistencia,,No,No,1,Contact center,7,Siebel,3,8
30/11/2020,Agentes Red,No,No,2,,No,Resto,Pyme,,Asistencia,,No,No,4,Agentes Red,1,Contact center,3,8
30/11/2020,Agentes Red,No,No,2,,No,Resto,Pyme,,Asistencia,,No,No,4,Agentes Red,8,EGAS,15,33
30/11/2020,Agentes Red,No,No,2,,No,Resto,Pyme,,Asistencia,,No,No,7,Siebel,13,Cont útil nivel 1,3,8
30/11/2020,Agentes Red,No,No,2,,No,Resto,Pyme,,Asistencia,,No,No,8,EGAS,19,Retenido,15,33
30/11/2020,Agentes Red,No,No,2,,No,Resto,Pyme,,Asistencia,,No,No,13,Cont útil nivel 1,19,Retenido,3,8
30/11/2020,Agentes Red,No,No,2,,No,Resto,Pyme,,Asistencia,,No,No,19,Retenido,22,Baja final,0,2
30/11/2020,Agentes Red,No,No,2,,No,Resto,Pyme,,Asistencia,,Sí,No,1,Contact center,7,Siebel,4,4
30/11/2020,Agentes Red,No,No,2,,No,Resto,Pyme,,Asistencia,,Sí,No,4,Agentes Red,1,Contact center,4,4
30/11/2020,Agentes Red,No,No,2,,No,Resto,Pyme,,Asistencia,,Sí,No,4,Agentes Red,8,EGAS,42,99
30/11/2020,Agentes Red,No,No,2,,No,Resto,Pyme,,Asistencia,,Sí,No,7,Siebel,13,Cont útil nivel 1,4,4
30/11/2020,Agentes Red,No,No,2,,No,Resto,Pyme,,Asistencia,,Sí,No,8,EGAS,19,Retenido,42,99
30/11/2020,Agentes Red,No,No,2,,No,Resto,Pyme,,Asistencia,,Sí,No,13,Cont útil nivel 1,19,Retenido,4,4
30/11/2020,Agentes Red,No,No,2,,No,Resto,Pyme,,Asistencia,,Sí,No,19,Retenido,22,Baja final,3,17
30/11/2020,Agentes Red,No,No,2,,No,Resto,Pyme,,Dental,,No,No,4,Agentes Red,8,EGAS,1,3
30/11/2020,Agentes Red,No,No,2,,No,Resto,Pyme,,Dental,,No,No,8,EGAS,19,Retenido,1,3
30/11/2020,Agentes Red,No,No,2,No,No,Basico,Individual,Sí,Asistencia,No,No,No,4,Agentes Red,8,EGAS,2,2
30/11/2020,Agentes Red,No,No,2,No,No,Basico,Individual,Sí,Asistencia,No,No,No,8,EGAS,21,Baja,2,2
30/11/2020,Agentes Red,No,No,2,No,No,Basico,Individual,Sí,Asistencia,No,Sí,No,4,Agentes Red,8,EGAS,6,7
30/11/2020,Agentes Red,No,No,2,No,No,Basico,Individual,Sí,Asistencia,No,Sí,No,8,EGAS,21,Baja,4,5
30/11/2020,Agentes Red,No,No,2,No,No,Basico,Individual,Sí,Asistencia,No,Sí,No,8,EGAS,23,Traspaso,2,2
30/11/2020,Agentes Red,No,No,2,No,No,Basico,Individual,Sí,Asistencia,No,Sí,Sí,4,Agentes Red,8,EGAS,2,5
30/11/2020,Agentes Red,No,No,2,No,No,Basico,Individual,Sí,Asistencia,No,Sí,Sí,8,EGAS,21,Baja,2,5
30/11/2020,Agentes Red,No,No,2,No,No,Plena,Individual,No,Asistencia,No,No,No,4,Agentes Red,8,EGAS,2,2
30/11/2020,Agentes Red,No,No,2,No,No,Plena,Individual,No,Asistencia,No,No,No,8,EGAS,21,Baja,2,2
30/11/2020,Agentes Red,No,No,2,No,No,Plena,Individual,No,Asistencia,No,Sí,No,4,Agentes Red,8,EGAS,3,3
30/11/2020,Agentes Red,No,No,2,No,No,Plena,Individual,No,Asistencia,No,Sí,No,8,EGAS,21,Baja,3,3
30/11/2020,Agentes Red,No,No,2,No,No,Plena,Individual,No,Asistencia,No,Sí,Sí,1,Contact center,7,Siebel,1,3
30/11/2020,Agentes Red,No,No,2,No,No,Plena,Individual,No,Asistencia,No,Sí,Sí,4,Agentes Red,1,Contact center,1,3
30/11/2020,Agentes Red,No,No,2,No,No,Plena,Individual,No,Asistencia,No,Sí,Sí,7,Siebel,13,Cont útil nivel 1,1,3
30/11/2020,Agentes Red,No,No,2,No,No,Plena,Individual,No,Asistencia,No,Sí,Sí,13,Cont útil nivel 1,21,Baja,1,3
30/11/2020,Agentes Red,No,No,2,No,No,Plena,Individual,Sí,Asistencia,No,No,No,4,Agentes Red,8,EGAS,10,15
30/11/2020,Agentes Red,No,No,2,No,No,Plena,Individual,Sí,Asistencia,No,No,No,4,Agentes Red,9,ECO,1,1
30/11/2020,Agentes Red,No,No,2,No,No,Plena,Individual,Sí,Asistencia,No,No,No,8,EGAS,21,Baja,8,13
30/11/2020,Agentes Red,No,No,2,No,No,Plena,Individual,Sí,Asistencia,No,No,No,8,EGAS,23,Traspaso,2,2
30/11/2020,Agentes Red,No,No,2,No,No,Plena,Individual,Sí,Asistencia,No,No,No,9,ECO,21,Baja,1,1
30/11/2020,Agentes Red,No,No,2,No,No,Plena,Individual,Sí,Asistencia,No,No,Sí,1,Contact center,7,Siebel,1,1
30/11/2020,Agentes Red,No,No,2,No,No,Plena,Individual,Sí,Asistencia,No,No,Sí,4,Agentes Red,1,Contact center,1,1
30/11/2020,Agentes Red,No,No,2,No,No,Plena,Individual,Sí,Asistencia,No,No,Sí,4,Agentes Red,8,EGAS,6,8
30/11/2020,Agentes Red,No,No,2,No,No,Plena,Individual,Sí,Asistencia,No,No,Sí,7,Siebel,12,No procede nivel 1,1,1
30/11/2020,Agentes Red,No,No,2,No,No,Plena,Individual,Sí,Asistencia,No,No,Sí,8,EGAS,21,Baja,4,4
30/11/2020,Agentes Red,No,No,2,No,No,Plena,Individual,Sí,Asistencia,No,No,Sí,8,EGAS,23,Traspaso,2,4
30/11/2020,Agentes Red,No,No,2,No,No,Plena,Individual,Sí,Asistencia,No,No,Sí,12,No procede nivel 1,21,Baja,1,1
30/11/2020,Agentes Red,No,No,2,No,No,Plena,Individual,Sí,Asistencia,No,Sí,No,4,Agentes Red,8,EGAS,20,25
30/11/2020,Agentes Red,No,No,2,No,No,Plena,Individual,Sí,Asistencia,No,Sí,No,8,EGAS,21,Baja,19,24
30/11/2020,Agentes Red,No,No,2,No,No,Plena,Individual,Sí,Asistencia,No,Sí,No,8,EGAS,23,Traspaso,1,1
30/11/2020,Agentes Red,No,No,2,No,No,Plena,Individual,Sí,Asistencia,No,Sí,Sí,4,Agentes Red,8,EGAS,8,9
30/11/2020,Agentes Red,No,No,2,No,No,Plena,Individual,Sí,Asistencia,No,Sí,Sí,8,EGAS,21,Baja,6,7
30/11/2020,Agentes Red,No,No,2,No,No,Plena,Individual,Sí,Asistencia,No,Sí,Sí,8,EGAS,23,Traspaso,2,2
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Individual,No,Asistencia,No,Sí,No,4,Agentes Red,8,EGAS,1,1
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Individual,No,Asistencia,No,Sí,No,8,EGAS,21,Baja,1,1
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Individual,No,Dental,No,No,No,4,Agentes Red,8,EGAS,3,4
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Individual,No,Dental,No,No,No,8,EGAS,21,Baja,3,4
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Individual,No,Dental,No,Sí,No,4,Agentes Red,8,EGAS,7,10
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Individual,No,Dental,No,Sí,No,8,EGAS,21,Baja,7,10
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Individual,No,Dental,No,Sí,Sí,4,Agentes Red,8,EGAS,1,1
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Individual,No,Dental,No,Sí,Sí,8,EGAS,21,Baja,1,1
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Individual,Sí,Asistencia,No,Sí,No,4,Agentes Red,8,EGAS,5,5
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Individual,Sí,Asistencia,No,Sí,No,8,EGAS,21,Baja,4,4
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Individual,Sí,Asistencia,No,Sí,No,8,EGAS,23,Traspaso,1,1
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Individual,Sí,Asistencia,No,Sí,Sí,4,Agentes Red,8,EGAS,1,1
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Individual,Sí,Asistencia,No,Sí,Sí,8,EGAS,21,Baja,1,1
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Individual,Sí,Dental,No,No,No,4,Agentes Red,8,EGAS,7,11
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Individual,Sí,Dental,No,No,No,8,EGAS,21,Baja,5,9
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Individual,Sí,Dental,No,No,No,8,EGAS,23,Traspaso,2,2
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Individual,Sí,Dental,No,No,Sí,4,Agentes Red,8,EGAS,1,1
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Individual,Sí,Dental,No,No,Sí,8,EGAS,21,Baja,1,1
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Individual,Sí,Dental,No,Sí,No,4,Agentes Red,8,EGAS,9,22
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Individual,Sí,Dental,No,Sí,No,8,EGAS,21,Baja,7,17
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Individual,Sí,Dental,No,Sí,No,8,EGAS,23,Traspaso,2,5
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Individual,Sí,Dental,No,Sí,Sí,4,Agentes Red,8,EGAS,1,2
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Individual,Sí,Dental,No,Sí,Sí,8,EGAS,21,Baja,1,2
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Pyme,No,Asistencia,No,No,No,4,Agentes Red,8,EGAS,2,2
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Pyme,No,Asistencia,No,No,No,8,EGAS,21,Baja,2,2
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Pyme,No,Asistencia,No,Sí,No,4,Agentes Red,8,EGAS,7,11
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Pyme,No,Asistencia,No,Sí,No,8,EGAS,21,Baja,7,11
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Pyme,No,Dental,No,No,No,4,Agentes Red,8,EGAS,1,6
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Pyme,No,Dental,No,No,No,8,EGAS,21,Baja,1,6
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Pyme,Sí,Asistencia,No,No,No,4,Agentes Red,8,EGAS,29,45
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Pyme,Sí,Asistencia,No,No,No,8,EGAS,21,Baja,25,41
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Pyme,Sí,Asistencia,No,No,No,8,EGAS,23,Traspaso,4,4
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Pyme,Sí,Asistencia,No,No,Sí,4,Agentes Red,8,EGAS,6,6
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Pyme,Sí,Asistencia,No,No,Sí,8,EGAS,21,Baja,5,5
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Pyme,Sí,Asistencia,No,No,Sí,8,EGAS,23,Traspaso,1,1
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Pyme,Sí,Asistencia,No,Sí,No,4,Agentes Red,8,EGAS,83,138
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Pyme,Sí,Asistencia,No,Sí,No,8,EGAS,21,Baja,73,118
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Pyme,Sí,Asistencia,No,Sí,No,8,EGAS,23,Traspaso,10,20
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Pyme,Sí,Asistencia,No,Sí,Sí,1,Contact center,7,Siebel,1,1
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Pyme,Sí,Asistencia,No,Sí,Sí,4,Agentes Red,1,Contact center,1,1
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Pyme,Sí,Asistencia,No,Sí,Sí,4,Agentes Red,8,EGAS,11,34
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Pyme,Sí,Asistencia,No,Sí,Sí,7,Siebel,13,Cont útil nivel 1,1,1
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Pyme,Sí,Asistencia,No,Sí,Sí,8,EGAS,21,Baja,8,27
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Pyme,Sí,Asistencia,No,Sí,Sí,8,EGAS,23,Traspaso,3,7
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Pyme,Sí,Asistencia,No,Sí,Sí,13,Cont útil nivel 1,21,Baja,1,1
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Pyme,Sí,Dental,No,No,No,4,Agentes Red,8,EGAS,1,2
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Pyme,Sí,Dental,No,No,No,8,EGAS,21,Baja,1,2
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Pyme,Sí,Dental,No,No,Sí,4,Agentes Red,8,EGAS,1,2
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Pyme,Sí,Dental,No,No,Sí,8,EGAS,21,Baja,1,2
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Pyme,Sí,Dental,No,Sí,No,4,Agentes Red,8,EGAS,2,3
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Pyme,Sí,Dental,No,Sí,No,8,EGAS,21,Baja,2,3
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Pyme,Sí,Dental,No,Sí,Sí,4,Agentes Red,8,EGAS,2,2
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Pyme,Sí,Dental,No,Sí,Sí,8,EGAS,21,Baja,1,1
30/11/2020,Agentes Red,No,No,2,No,No,Resto,Pyme,Sí,Dental,No,Sí,Sí,8,EGAS,23,Traspaso,1,1
30/11/2020,Agentes Red,No,No,2,No,Sí,Resto,Pyme,Sí,Asistencia,No,Sí,No,4,Agentes Red,8,EGAS,3,4
30/11/2020,Agentes Red,No,No,2,No,Sí,Resto,Pyme,Sí,Asistencia,No,Sí,No,8,EGAS,21,Baja,3,4
30/11/2020,Agentes Red,No,No,2,Sí,No,Basico,Individual,No,Asistencia,No,Sí,No,1,Contact center,7,Siebel,1,1
30/11/2020,Agentes Red,No,No,2,Sí,No,Basico,Individual,No,Asistencia,No,Sí,No,4,Agentes Red,1,Contact center,1,1
30/11/2020,Agentes Red,No,No,2,Sí,No,Basico,Individual,No,Asistencia,No,Sí,No,4,Agentes Red,8,EGAS,1,1
30/11/2020,Agentes Red,No,No,2,Sí,No,Basico,Individual,No,Asistencia,No,Sí,No,7,Siebel,11,Cont no útil nivel 1,1,1
30/11/2020,Agentes Red,No,No,2,Sí,No,Basico,Individual,No,Asistencia,No,Sí,No,8,EGAS,21,Baja,1,1
30/11/2020,Agentes Red,No,No,2,Sí,No,Basico,Individual,No,Asistencia,No,Sí,No,11,Cont no útil nivel 1,21,Baja,1,1
30/11/2020,Agentes Red,No,No,2,Sí,No,Basico,Individual,No,Asistencia,Sí,No,No,1,Contact center,7,Siebel,2,2
30/11/2020,Agentes Red,No,No,2,Sí,No,Basico,Individual,No,Asistencia,Sí,No,No,4,Agentes Red,1,Contact center,2,2
30/11/2020,Agentes Red,No,No,2,Sí,No,Basico,Individual,No,Asistencia,Sí,No,No,4,Agentes Red,9,ECO,3,3
30/11/2020,Agentes Red,No,No,2,Sí,No,Basico,Individual,No,Asistencia,Sí,No,No,7,Siebel,12,No procede nivel 1,1,1
30/11/2020,Agentes Red,No,No,2,Sí,No,Basico,Individual,No,Asistencia,Sí,No,No,7,Siebel,13,Cont útil nivel 1,1,1
30/11/2020,Agentes Red,No,No,2,Sí,No,Basico,Individual,No,Asistencia,Sí,No,No,9,ECO,21,Baja,1,1
30/11/2020,Agentes Red,No,No,2,Sí,No,Basico,Individual,No,Asistencia,Sí,No,No,9,ECO,23,Traspaso,2,2
30/11/2020,Agentes Red,No,No,2,Sí,No,Basico,Individual,No,Asistencia,Sí,No,No,12,No procede nivel 1,21,Baja,1,1
